"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","boiled storage root color visual 1-3|CO_334:0000114","cassava anthractnose disease incidence in 6-month|CO_334:0000181","cassava anthractnose disease incidence in 9-month|CO_334:0000182","cassava anthractnose disease severity in 6-month|CO_334:0000184","cassava anthractnose disease severity in 9-month|CO_334:0000185","cassava bacterial blight incidence 3-month evaluation|CO_334:0000178","cassava bacterial blight incidence 6-month evaluation|CO_334:0000179","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","cassava bacterial blight severity 6-month evaluation|CO_334:0000176","cassava green mite severity first evaluation|CO_334:0000189","cassava green mite severity second evaluation|CO_334:0000190","cassava mosaic disease incidence 1-month evaluation|CO_334:0000195","cassava mosaic disease incidence 3-month evaluation|CO_334:0000196","cassava mosaic disease incidence 6-month evaluation|CO_334:0000198","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","cassava mosaic disease severity 3-month evaluation|CO_334:0000192","cassava mosaic disease severity 6-month evaluation|CO_334:0000194","dry matter content by specific gravity method|CO_334:0000160","dry matter content percentage|CO_334:0000092","dry yield|CO_334:0000014","ease of peeling root cortex visual rating 1-3|CO_334:0000308","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","harvest index variable|CO_334:0000015","initial vigor assessment 1-7|CO_334:0000009","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant stands harvested counting|CO_334:0000010","poundability assessment 0-4|CO_334:0000074","proportion lodged plants in percentage|CO_334:0000094","root neck length visual rating 0-7|CO_334:0000022","root number counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","specific gravity|CO_334:0000163","sprout count at nine-month|CO_334:0000216","sprout count at one-month|CO_334:0000213","sprout count at six-month|CO_334:0000215","sprout count at three-month|CO_334:0000214","sprouting proportion|CO_334:0000008","storage root cortex color visual rating 1-4|CO_334:0000115","storage root periderm color visual rating 1-4|CO_334:0000064","storage root pulp color visual rating 1-3|CO_334:0000021","storage root shape visual rating 1-6|CO_334:0000020","storage root size visual rating 1-7|CO_334:0000019","taste of boiled root rating 1-3|CO_334:0000085","top yield|CO_334:0000017","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398877","IITA-TMS-IBA131129","","plot","699592","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131129_109","1","1","109","","","test","","","","","","","","","","","2","0.12","0.12","3","3","","0.00","1","1","3","4","","0.00","","1","1","1","28.55","34.20","3.10","2","3","9.06","50.50","14.50","0.22","5","42","4","20","1","1","3","93","4.48","0.32","9","1.08","41","41","41","41","0.98","1","2","1","2","3","1","31.56","2",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398871","IITA-TMS-IBA131187","","plot","699601","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131187_110","1","1","110","","","test","","","","","","","","","","","1","0.21","0.26","3","3","","0.40","1","5","3","2","","0.00","","1","1","1","31.09","32.20","6.44","3","4","20.00","55.50","32.00","0.37","7","42","4","20","1","1","3","141","4.47","0.38","5","1.09","42","42","42","41","1.00","1","1","1","1","5","1","34.69","1",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398862","IITA-TMS-IBA131324","","plot","699580","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131324_101","1","1","101","","","test","","","","","","","","","","","3","0.56","0.71","3","3","","0.00","1","1","3","4","","0.00","","1","1","1","29.72","32.10","5.52","3","2","17.19","65.50","27.50","0.30","7","42","2","20","","1","5","144","4.48","0.35","3","1.08","41","42","41","41","1.00","1","2","1","2","3","1","40.94","2",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398824","IITA-TMS-IBA131390","","plot","699578","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131390_102","1","1","102","","","test","","","","","","","","","","","1","0.21","0.00","2","1","9","0.00","5","1","3","3","","0.00","","1","1","1","26.71","33.70","1.79","3","4","5.31","20.50","8.50","0.29","5","42","3","11","1","3","3","40","2.27","0.14","4","1.07","22","31","24","31","0.74","1","2","1","2","3","1","12.81","2",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398844","IITA-TMS-IBA131511","","plot","699598","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131511_104","1","1","104","","","test","","","","","","","","","","","2","0.10","0.13","2","2","","0.25","1","5","3","2","","0.00","","1","1","1","34.33","38.30","3.47","3","3","9.06","50.50","14.50","0.22","7","42","2","19","1","1","3","84","4.16","0.43","14","1.11","39","40","40","40","0.95","1","2","1","2","3","1","31.56","2",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398842","IITA-TMS-IBA131514","","plot","699575","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131514_107","1","1","107","","","test","","","","","","","","","","","2","0.24","0.18","3","3","","0.00","1","1","3","4","","0.00","","1","1","1","32.64","38.60","2.90","3","4","7.50","48.50","12.00","0.20","5","42","4","20","2","1","3","76","4.02","0.38","8","1.10","40","42","41","41","1.00","3","2","1","2","3","1","30.31","2",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398801","IITA-TMS-IBA131710","","plot","699602","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131710_105","1","1","105","","","test","","","","","","","","","","","3","0.17","0.07","3","2","","0.00","1","1","2","4","","0.00","","1","1","1","30.90","35.70","3.57","3","4","10.00","85.50","16.00","0.16","5","42","3","20","1","1","3","80","4.38","0.37","2","1.09","42","42","42","42","1.00","3","2","1","2","3","1","53.44","2",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","398798","IITA-TMS-IBA131712","","plot","699597","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA131712_108","1","1","108","","","test","","","","","","","","","","","2","0.29","0.28","3","3","","0.00","1","1","2","5","","0.00","","1","1","1","29.88","32.80","3.08","3","3","9.38","75.50","15.00","0.17","7","42","4","18","3","2","3","64","4.41","0.35","9","1.09","39","41","38","40","0.98","3","2","1","2","5","1","47.19","2",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","723","IITA-TMS-IBA980581","","plot","699591","2017-16uyt10whtrtIB-rep1-IITA-TMS-IBA980581_103","1","1","103","","","test","","","","","","","","","","","1","0.41","0.50","3","3","","0.00","1","1","3","4","","0.00","","1","1","1","28.74","32.90","5.04","3","3","15.31","47.50","24.50","0.34","5","42","2","19","3","1","3","98","4.42","0.32","8","1.08","38","40","37","39","0.95","1","1","1","1","5","1","29.69","1",""
"2016","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","3325","16uyt10whtrtIB","Assessment of Varieties of Cassava for high yield, disease resistance in a  Uniform Yield Trial (10 clones) in Ibadan 2016/2017 Breeding Season","RCBD","6","5.5","0.1008","","","2016-June-21","2017-May-26","3","Ibadan","39671","TMEB419","","plot","699588","2017-16uyt10whtrtIB-rep1-TMEB419_106","1","1","106","","","test","","","","","","","","","","","","0.17","0.11","2","2","","0.00","1","1","3","4","","0.00","","1","1","1","","27.20","0.03","3","2","0.13","19.50","0.20","0.01","5","42","2","5","","3","3","12","","","9","","9","14","12","14","0.33","1","2","1","2","3","","12.19","1",""
